Site_id	Site_name	Parameters
433509112573501	USGS 56	SR90
433456112571901	USGS 60	H3
433456112571901	USGS 60	SR90
433453112571601	USGS 61	H3
433453112571601	USGS 61	SR90
433446112570701	USGS 62	H3
433446112570701	USGS 62	SR90
433455112574001	USGS 63	H3
433455112574001	USGS 63	SR90
433436112564801	USGS 66	H3
433436112564801	USGS 66	SR90
433516112573901	USGS 68	H3
433516112573901	USGS 68	SR90
433450112573001	USGS 69	H3
433450112573001	USGS 69	SR90
433504112571001	USGS 70	H3
433504112571001	USGS 70	SR90
433439112571501	USGS 71	H3
433439112571501	USGS 71	SR90
433519112574601	USGS 72	H3
433519112574601	USGS 72	SR90
433502112575401	USGS 73	H3
433502112575401	USGS 73	SR90
433413112573501	USGS 78	H3
433413112573501	USGS 78	SR90
433000113025301	USGS 92	H3
433000113025301	USGS 92	SR90
